merk,model,vatting,brandpunt_mm,max_diafragma,jaar_van,jaar_tot,elementen,groepen,min_scherpstel_m,filter_mm,gewicht_g,lamellen,collectie
Albinar,Super Albinar MC Auto 28mm f/2.8,Pentax K,28.0,2.8,,,,,,,,,owned
Beroflex,Beroflex 1:8 500mm,T2,500.0,8.0,,,,,,,,,
Beroflex,Beroflex 400mm f/6.3,M42,400.0,6.3,,,,,,,,,
Canon,Canon FD 200mm f/2.8 S.S.C.,Canon FD,200.0,2.8,,,,,,,,,
Canon,Canon FD 50mm f/1.4 S.S.C.,Canon FD,50.0,1.4,,,,,,,,,
Canon,Canon FDn 100mm 1:2.8,Canon FD,100.0,2.8,,,,,,,,,
Canon,Canon FDn 100mm f/2.8,Canon FD,100.0,2.8,,,,,,,,,
Canon,Canon FDn 135mm 1:2.8,Canon FD,135.0,2.8,,,,,,,,,
Canon,Canon FDn 200mm 1:4,Canon FD,200.0,4.0,,,,,,,,,
Canon,Canon FDn 24mm 1:2.8,Canon FD,24.0,2.8,,,,,,,,,
Canon,Canon FDn 28mm f/2.8,Canon FD,28.0,2.8,,,,,,,,,
Canon,Canon FDn 50mm 1:1.4,Canon FD,50.0,1.4,,,,,,,,,
Canon,Canon FDn 50mm 1:1.8,Canon FD,50.0,1.8,,,,,,,,,
Canon,Canon Lens FL 135mm F3.5,Canon FL,135.0,3.5,,,,,,,,,
Canon,Canon Lens FL 50mm F1.4,Canon FL,50.0,1.4,,,,,,,,,
Chinon,Auto Chinon 35mm f/2.8,M42,35.0,2.8,,,,,,,,,
Contax,Zeiss 21mm f/2.8 Distagon,Contax/Yashica,21.0,2.8,,,,,,,,,
Contax,Zeiss 28mm f/2.8 Distagon,Contax/Yashica,28.0,2.8,,,,,,,,,
Cosina,24mm 1:2.0 Macro,Pentax K,24.0,2.0,,,,,,,,,
Cosina,Cosina Cosinon-S 50mm 1:2,Pentax K,50.0,2.0,,,,,,,,,
Cosina,Cosinon-T 135mm 1:3.5,Pentax K,135.0,3.5,,,,,,,,,
Cosina,Cosinon-W 28mm 1:2.8,Pentax K,28.0,2.8,,,,,,,,,
Cosina,Cosinon-W 35mm 1:2.8,Pentax K,35.0,2.8,,,,,,,,,
Fotasy,Fotasy M3517 35mm f/1.7,M42,35.0,1.7,,,,,,,,,
Irix,Irix 11mm f/4 G,Pentax KA,11.0,4.0,,,,,,,,,
Irix,Irix 15mm f/2.4,Nikon F (pre-AI),15.0,2.4,,,,,,,,,
KMZ (Zenit),Helios-44 58mm 1:2,M42,58.0,2.0,,,,,,,,,
KMZ (Zenit),MC Helios-44M-4 58mm 1:2,M42,58.0,2.0,,,,,,,,,
KMZ (Zenit),MC MTO 11CA 10/1000,M42,1000.0,10.0,,,,,,,,,
KMZ (Zenit),MIR-1B 37mm f/2.8,M42,37.0,2.8,,,,,,,,,
LZOS,Industar-61 L/Z MC 50mm f/2.8,M42,50.0,2.8,,,,,,,,,
Mamiya,Mamiya/Sekor SX 55mm f/1.8,M42,55.0,1.8,,,,,,,,,
Meyer-Optik Görlitz,Domiplan 50mm f/2.8,M42,50.0,2.8,,,,,,,,,
Meyer-Optik Görlitz,Helioplan 40mm f/4.5,M42,40.0,4.5,,,,,,,,,
Meyer-Optik Görlitz,Lydith 30mm f/3.5,M42,30.0,3.5,,,,,,,,,
Meyer-Optik Görlitz,Orestegon 29mm f/2.8,M42,29.0,2.8,,,,,,,,,
Meyer-Optik Görlitz,Orestegor 200mm f/4,M42,200.0,4.0,,,,,,,,,
Meyer-Optik Görlitz,Oreston 50mm f/1.8,M42,50.0,1.8,,,,,,,,,
Meyer-Optik Görlitz,Orestor 100mm f/2.8,M42,100.0,2.8,,,,,,,,,
Meyer-Optik Görlitz,Orestor 135mm f/2.8,M42,135.0,2.8,,,,,,,,,
Minolta,Minolta MD 135mm f/2.8,Minolta MD/MC,135.0,2.8,,,,,,,,,
Minolta,Minolta MD 24mm f/2.8,Minolta MD/MC,24.0,2.8,,,,,,,,,
Minolta,Minolta MD 28mm f/2.8,Minolta MD/MC,28.0,2.8,,,,,,,,,
Minolta,Minolta MD 35mm 1/2.8,Minolta MD/MC,35.0,,,,,,,,,,
Minolta,Minolta MD 45mm f/2,Minolta MD/MC,45.0,2.0,,,,,,,,,
Minolta,Minolta MD 50mm f/1.4,Minolta MD/MC,50.0,1.4,,,,,,,,,
Minolta,Minolta MD Rokkor 50mm 1:1.4,Minolta MD/MC,50.0,1.4,,,,,,,,,
Miranda,Miranda 28mm f/2.8 MC,Canon FD,28.0,2.8,,,,,,,,,
Mitakon,Mitakon wide MC f=24mm 1:2.8,Pentax K,24.0,2.8,,,,,,,,,
Nikon,Nikkor 55mm f/3.5 Micro,Nikon F (pre-AI),55.0,3.5,,,,,,,,,
Nikon,Nikkor AI-S 85mm f/2.0,Nikon F AI-S,85.0,2.0,,,,,,,,,
Nikon,Nikon AI Nikkor 15mm f/3.5,Nikon F AI,15.0,3.5,,,,,,,,,
Nikon,Nikon AI Nikkor 45mm f/2.8 GN,Nikon F AI,45.0,2.8,,,,,,,,,
Nikon,Nikon AI Nikkor 55mm f/1.2,Nikon F AI,55.0,1.2,,,,,,,,,
Nikon,Nikon AI-S Fisheye-Nikkor 6mm f/2.8,Nikon F AI-S,6.0,2.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 105mm f/2.5,Nikon F AI,105.0,2.5,,,,,,,,,
Nikon,Nikon AI-S Nikkor 135mm f/2,Nikon F AI-S,135.0,2.0,,,,,,,,,
Nikon,Nikon AI-S Nikkor 135mm f/2.8,Nikon F AI-S,135.0,2.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 135mm f/3.5,Nikon F AI-S,135.0,3.5,,,,,,,,,
Nikon,Nikon AI-S Nikkor 180mm f/2.8 ED,Nikon F AI-S,180.0,2.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 200mm f/4,Nikon F AI-S,200.0,4.0,,,,,,,,,
Nikon,Nikon AI-S Nikkor 20mm f/2.8,Nikon F AI-S,20.0,2.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 24mm f/2,Nikon F AI-S,24.0,2.0,,,,,,,,,
Nikon,Nikon AI-S Nikkor 24mm f/2.8,Nikon F AI-S,24.0,2.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 28mm f/2,Nikon F AI-S,28.0,2.0,,,,,,,,,
Nikon,Nikon AI-S Nikkor 28mm f/2.8,Nikon F AI-S,28.0,2.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 28mm f/3.5 PC (unshifted),Nikon F AI-S,28.0,3.5,,,,,,,,,
Nikon,Nikon AI-S Nikkor 300mm f/4.5,Nikon F AI-S,300.0,4.5,,,,,,,,,
Nikon,Nikon AI-S Nikkor 35mm f/1.4,Nikon F AI-S,35.0,1.4,,,,,,,,,
Nikon,Nikon AI-S Nikkor 35mm f/2,Nikon F AI-S,35.0,2.0,,,,,,,,,
Nikon,Nikon AI-S Nikkor 400mm f/3.5,Nikon F AI-S,400.0,3.5,,,,,,,,,
Nikon,Nikon AI-S Nikkor 400mm f/3.5 + TC14B teleconverter,Nikon F AI-S,400.0,3.5,,,,,,,,,
Nikon,Nikon AI-S Nikkor 500mm f/8 Reflex,Nikon F AI-S,500.0,8.0,,,,,,,,,
Nikon,Nikon AI-S Nikkor 50mm f/1.2,Nikon F AI,50.0,1.2,,,,,,,,,
Nikon,Nikon AI-S Nikkor 50mm f/1.4,Nikon F AI-S,50.0,1.4,,,,,,,,,
Nikon,Nikon AI-S Nikkor 50mm f/1.8,Nikon F AI-S,50.0,1.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 55mm f/2.8 Micro,Nikon F AI-S,55.0,2.8,,,,,,,,,
Nikon,Nikon AI-S Nikkor 58mm f/1.2 Noct,Nikon F AI,58.0,1.2,,,,,,,,,
Nikon,Nikon Lens Series E 100mm f/2.8,Nikon F AI-S,100.0,2.8,,,,,,,,,
Nikon,Nikon Lens Series E 28mm f/2.8,Nikon F AI-S,28.0,2.8,,,,,,,,,
Nikon,Nikon Lens Series E 50mm f/1.8,Nikon F AI-S,50.0,1.8,,,,,,,,,
Nikon,Nikon Nikkor 50mm f/2,Nikon F (pre-AI),50.0,2.0,,,,,,,,,
Nikon,Nikon Nikkor AI 20mm f/3.5,Nikon F AI,20.0,3.5,,,,,,,,,
Olympus,Olympus OM-System Zuiko Auto-S 50 mm f/1.8 (Vers. S/N 5хххххх),Olympus OM,50.0,1.8,,,,,,,,,
Olympus,Zuiko Auto-S 50mm f/1.8,Olympus OM,50.0,1.8,,,,,,,,,
Opteka,Opteka 15mm f/4 Wide Macro 1:1,Nikon F (pre-AI),15.0,4.0,,,,,,,,,
Pentacon,Pentacon 50mm f/1.8,M42,50.0,1.8,,,,,,,,,
Pentacon,Pentacon 50mm f/1.8 auto multi coating,M42,50.0,1.8,,,,,,,,,
Pentacon,Pentacon electric 2.8/29mm,M42,29.0,,,,,,,,,,
Pentax,Pentax SMC Takumar 50mm f/1.4,M42,50.0,1.4,,,,,,,,,
Pentax,Super-Multi-Coated Takumar 400mm f/5.6,M42,400.0,5.6,,,,,,,,,
Pentax,Super-Takumar 50mm f/1.4,M42,50.0,1.4,,,,,,,,,
Pentax,Super-Takumar 55mm f/1.8,M42,55.0,1.8,,,,,,,,,
Pentax,Takumar 135mm f/2.5 Bayonet,Pentax K,135.0,2.5,,,,,,,,,
Pentax,smc Pentax 1000mm f/11 Reflex,Pentax K,1000.0,11.0,,,,,,,,,
Pentax,smc Pentax 1000mm f/8,Pentax K,1000.0,8.0,,,,,,,,,
Pentax,smc Pentax 100mm f/4 Bellows,Pentax K,100.0,4.0,,,,,,,,,
Pentax,smc Pentax 100mm f/4 Macro,Pentax K,100.0,4.0,,,,,,,,,
Pentax,smc Pentax 105mm f/2.8,Pentax K,105.0,2.8,,,,,,,,,
Pentax,smc Pentax 120mm f/2.8,Pentax K,120.0,2.8,,,,,,,,,
Pentax,smc Pentax 135mm f/2.5,Pentax K,135.0,2.5,,,,,,,,,
Pentax,smc Pentax 135mm f/3.5,Pentax K,135.0,3.5,,,,,,,,,
Pentax,smc Pentax 150mm f/4,Pentax K,150.0,4.0,,,,,,,,,
Pentax,smc Pentax 15mm f/3.5,Pentax K,15.0,3.5,,,,,,,,,
Pentax,smc Pentax 17mm f/4 Fish-Eye,Pentax K,17.0,4.0,,,,,,,,,
Pentax,smc Pentax 18mm f/3.5,Pentax K,18.0,3.5,,,,,,,,,
Pentax,smc Pentax 2000mm f/13.5 Reflex,Pentax K,2000.0,13.5,,,,,,,,,
Pentax,smc Pentax 200mm f/2.5,Pentax K,200.0,2.5,,,,,,,,,
Pentax,smc Pentax 200mm f/4,Pentax K,200.0,4.0,1975,1977,5,5,2.0,58,535,6,owned
Pentax,smc Pentax 20mm f/1.4,Pentax K,20.0,1.4,,,,,,,,,
Pentax,smc Pentax 20mm f/4,Pentax K,20.0,4.0,,,,,,,,,
Pentax,smc Pentax 24mm f/2.8,Pentax K,24.0,2.8,,,,,,,,,
Pentax,smc Pentax 24mm f/3.5,Pentax K,24.0,3.5,,,,,,,,,
Pentax,smc Pentax 28mm f/2,Pentax K,28.0,2.0,,,,,,,,,
Pentax,smc Pentax 28mm f/3.5,Pentax K,28.0,3.5,,,,,,,,,
Pentax,smc Pentax 28mm f/3.5 Shift,Pentax K,28.0,3.5,,,,,,,,,
Pentax,smc Pentax 300mm f/4,Pentax K,300.0,4.0,,,,,,,,,
Pentax,smc Pentax 35mm f/2,Pentax K,35.0,2.0,,,,,,,,,
Pentax,smc Pentax 35mm f/3.5,Pentax K,35.0,3.5,,,,,,,,,
Pentax,smc Pentax 400mm f/5.6,Pentax K,400.0,5.6,,,,,,,,,
